date,lottery,number,animal,time
2021-01-02,lagranjita,13,mono,08:00 AM
2021-01-02,lagranjita,27,perro,09:00 AM
2021-01-02,lagranjita,8,raton,10:00 AM
2021-01-02,lagranjita,3,ciempies,11:00 AM
2021-01-02,lagranjita,14,paloma,12:00 PM
2021-01-02,lagranjita,15,zorro,01:00 PM
2021-01-02,lagranjita,22,camello,02:00 PM
2021-01-02,lagranjita,24,iguana,03:00 PM
2021-01-02,lagranjita,20,cochino,04:00 PM
2021-01-02,lagranjita,34,venado,05:00 PM
2021-01-02,lagranjita,5,leon,06:00 PM
2021-01-02,lagranjita,29,elefante,07:00 PM
2021-01-03,lagranjita,34,venado,09:00 AM
2021-01-03,lagranjita,12,caballo,10:00 AM
2021-01-03,lagranjita,15,zorro,11:00 AM
2021-01-03,lagranjita,10,tigre,12:00 PM
2021-01-03,lagranjita,18,burro,01:00 PM
2021-01-03,lagranjita,6,rana,02:00 PM
2021-01-03,lagranjita,4,alacran,03:00 PM
2021-01-03,lagranjita,33,pescado,04:00 PM
2021-01-03,lagranjita,25,gallina,05:00 PM
2021-01-03,lagranjita,2,toro,06:00 PM
2021-01-03,lagranjita,13,mono,07:00 PM
2021-01-04,lagranjita,16,oso,09:00 AM
2021-01-04,lagranjita,9,aguila,10:00 AM
2021-01-04,lagranjita,32,ardilla,11:00 AM
2021-01-04,lagranjita,30,caiman,12:00 PM
2021-01-04,lagranjita,21,gallo,01:00 PM
2021-01-04,lagranjita,16,oso,02:00 PM
2021-01-04,lagranjita,23,cebra,03:00 PM
2021-01-04,lagranjita,11,gato,04:00 PM
2021-01-04,lagranjita,31,lapa,05:00 PM
2021-01-04,lagranjita,28,zamuro,06:00 PM
2021-01-04,lagranjita,20,cochino,07:00 PM
2021-01-05,lagranjita,1,carnero,09:00 AM
2021-01-05,lagranjita,7,perico,10:00 AM
2021-01-05,lagranjita,26,vaca,11:00 AM
2021-01-05,lagranjita,2,toro,12:00 PM
2021-01-05,lagranjita,19,chivo,01:00 PM
2021-01-05,lagranjita,8,raton,02:00 PM
2021-01-05,lagranjita,34,venado,03:00 PM
2021-01-05,lagranjita,16,oso,04:00 PM
2021-01-05,lagranjita,27,perro,05:00 PM
2021-01-05,lagranjita,5,leon,06:00 PM
2021-01-05,lagranjita,30,caiman,07:00 PM
2021-01-06,lagranjita,17,pavo,09:00 AM
2021-01-06,lagranjita,8,raton,10:00 AM
2021-01-06,lagranjita,21,gallo,11:00 AM
2021-01-06,lagranjita,25,gallina,12:00 PM
2021-01-06,lagranjita,27,perro,01:00 PM
2021-01-06,lagranjita,23,cebra,02:00 PM
2021-01-06,lagranjita,3,ciempies,03:00 PM
2021-01-06,lagranjita,29,elefante,04:00 PM
2021-01-06,lagranjita,35,jirafa,05:00 PM
2021-01-06,lagranjita,24,iguana,06:00 PM
2021-01-06,lagranjita,14,paloma,07:00 PM
2021-01-07,lagranjita,25,gallina,09:00 AM
2021-01-07,lagranjita,2,toro,10:00 AM
2021-01-07,lagranjita,10,tigre,11:00 AM
2021-01-07,lagranjita,30,caiman,12:00 PM
2021-01-07,lagranjita,13,mono,01:00 PM
2021-01-07,lagranjita,19,chivo,02:00 PM
2021-01-07,lagranjita,15,zorro,03:00 PM
2021-01-07,lagranjita,32,ardilla,04:00 PM
2021-01-07,lagranjita,23,cebra,05:00 PM
2021-01-07,lagranjita,37,ballena,06:00 PM
2021-01-07,lagranjita,34,venado,07:00 PM
2021-01-08,lagranjita,0,delfin,09:00 AM
2021-01-08,lagranjita,18,burro,10:00 AM
2021-01-08,lagranjita,29,elefante,11:00 AM
2021-01-08,lagranjita,15,zorro,12:00 PM
2021-01-08,lagranjita,11,gato,01:00 PM
2021-01-08,lagranjita,5,leon,02:00 PM
2021-01-08,lagranjita,16,oso,03:00 PM
2021-01-08,lagranjita,36,culebra,04:00 PM
2021-01-08,lagranjita,15,zorro,05:00 PM
2021-01-08,lagranjita,7,perico,06:00 PM
2021-01-08,lagranjita,2,toro,07:00 PM
2021-01-09,lagranjita,11,gato,09:00 AM
2021-01-09,lagranjita,4,alacran,10:00 AM
2021-01-09,lagranjita,6,rana,11:00 AM
2021-01-09,lagranjita,2,toro,12:00 PM
2021-01-09,lagranjita,17,pavo,01:00 PM
2021-01-09,lagranjita,29,elefante,02:00 PM
2021-01-09,lagranjita,28,zamuro,03:00 PM
2021-01-09,lagranjita,12,caballo,04:00 PM
2021-01-09,lagranjita,20,cochino,05:00 PM
2021-01-09,lagranjita,21,gallo,06:00 PM
2021-01-09,lagranjita,33,pescado,07:00 PM
2021-01-10,lagranjita,24,iguana,09:00 AM
2021-01-10,lagranjita,13,mono,10:00 AM
2021-01-10,lagranjita,28,zamuro,11:00 AM
2021-01-10,lagranjita,5,leon,12:00 PM
2021-01-10,lagranjita,2,toro,01:00 PM
2021-01-10,lagranjita,21,gallo,02:00 PM
2021-01-10,lagranjita,36,culebra,03:00 PM
2021-01-10,lagranjita,32,ardilla,04:00 PM
2021-01-10,lagranjita,16,oso,05:00 PM
2021-01-10,lagranjita,37,ballena,06:00 PM
2021-01-10,lagranjita,3,ciempies,07:00 PM
2021-01-11,lagranjita,11,gato,09:00 AM
2021-01-11,lagranjita,36,culebra,10:00 AM
2021-01-11,lagranjita,22,camello,11:00 AM
2021-01-11,lagranjita,26,vaca,12:00 PM
2021-01-11,lagranjita,35,jirafa,01:00 PM
2021-01-11,lagranjita,14,paloma,02:00 PM
2021-01-11,lagranjita,15,zorro,03:00 PM
2021-01-11,lagranjita,31,lapa,04:00 PM
2021-01-11,lagranjita,24,iguana,05:00 PM
2021-01-11,lagranjita,18,burro,06:00 PM
2021-01-11,lagranjita,22,camello,07:00 PM
2021-01-12,lagranjita,20,cochino,09:00 AM
2021-01-12,lagranjita,5,leon,10:00 AM
2021-01-12,lagranjita,0,delfin,11:00 AM
2021-01-12,lagranjita,6,rana,12:00 PM
2021-01-12,lagranjita,35,jirafa,01:00 PM
2021-01-12,lagranjita,34,venado,02:00 PM
2021-01-12,lagranjita,2,toro,03:00 PM
2021-01-12,lagranjita,34,venado,04:00 PM
2021-01-12,lagranjita,1,carnero,05:00 PM
2021-01-12,lagranjita,27,perro,06:00 PM
2021-01-12,lagranjita,29,elefante,07:00 PM
2021-01-13,lagranjita,10,tigre,09:00 AM
2021-01-13,lagranjita,17,pavo,10:00 AM
2021-01-13,lagranjita,32,ardilla,11:00 AM
2021-01-13,lagranjita,16,oso,12:00 PM
2021-01-13,lagranjita,24,iguana,01:00 PM
2021-01-13,lagranjita,34,venado,02:00 PM
2021-01-13,lagranjita,21,gallo,03:00 PM
2021-01-13,lagranjita,29,elefante,04:00 PM
2021-01-13,lagranjita,12,caballo,05:00 PM
2021-01-13,lagranjita,27,perro,06:00 PM
2021-01-13,lagranjita,22,camello,07:00 PM
2021-01-14,lagranjita,23,cebra,09:00 AM
2021-01-14,lagranjita,12,caballo,10:00 AM
2021-01-14,lagranjita,30,caiman,11:00 AM
2021-01-14,lagranjita,36,culebra,12:00 PM
2021-01-14,lagranjita,23,cebra,01:00 PM
2021-01-14,lagranjita,28,zamuro,02:00 PM
2021-01-14,lagranjita,16,oso,03:00 PM
2021-01-14,lagranjita,26,vaca,04:00 PM
2021-01-14,lagranjita,3,ciempies,05:00 PM
2021-01-14,lagranjita,31,lapa,06:00 PM
2021-01-14,lagranjita,15,zorro,07:00 PM
2021-01-15,lagranjita,31,lapa,09:00 AM
2021-01-15,lagranjita,29,elefante,10:00 AM
2021-01-15,lagranjita,36,culebra,11:00 AM
2021-01-15,lagranjita,11,gato,12:00 PM
2021-01-15,lagranjita,34,venado,01:00 PM
2021-01-15,lagranjita,35,jirafa,02:00 PM
2021-01-15,lagranjita,24,iguana,03:00 PM
2021-01-15,lagranjita,4,alacran,04:00 PM
2021-01-15,lagranjita,32,ardilla,05:00 PM
2021-01-15,lagranjita,21,gallo,06:00 PM
2021-01-15,lagranjita,4,alacran,07:00 PM
2021-01-16,lagranjita,25,gallina,09:00 AM
2021-01-16,lagranjita,8,raton,10:00 AM
2021-01-16,lagranjita,9,aguila,11:00 AM
2021-01-16,lagranjita,16,oso,12:00 PM
2021-01-16,lagranjita,4,alacran,01:00 PM
2021-01-16,lagranjita,13,mono,02:00 PM
2021-01-16,lagranjita,3,ciempies,03:00 PM
2021-01-16,lagranjita,24,iguana,04:00 PM
2021-01-16,lagranjita,23,cebra,05:00 PM
2021-01-16,lagranjita,11,gato,06:00 PM
2021-01-16,lagranjita,36,culebra,07:00 PM
2021-01-17,lagranjita,7,perico,09:00 AM
2021-01-17,lagranjita,0,delfin,10:00 AM
2021-01-17,lagranjita,2,toro,11:00 AM
2021-01-17,lagranjita,15,zorro,12:00 PM
2021-01-17,lagranjita,14,paloma,01:00 PM
2021-01-17,lagranjita,23,cebra,02:00 PM
2021-01-17,lagranjita,19,chivo,03:00 PM
2021-01-17,lagranjita,16,oso,04:00 PM
2021-01-17,lagranjita,15,zorro,05:00 PM
2021-01-17,lagranjita,12,caballo,06:00 PM
2021-01-17,lagranjita,32,ardilla,07:00 PM
2021-01-18,lagranjita,3,ciempies,09:00 AM
2021-01-18,lagranjita,28,zamuro,10:00 AM
2021-01-18,lagranjita,34,venado,11:00 AM
2021-01-18,lagranjita,37,ballena,12:00 PM
2021-01-18,lagranjita,9,aguila,01:00 PM
