animal,probability,score,historical,recent,hour,anti_repetition,step,pair,trend,cross_lottery,rank,datetime,date,time
pescado,0.028614780946214623,0.8980017678919252,0.8993855606758833,0.6666666666666667,0.7049180327868853,0.9661519508545093,1.0,1.0,0.760916095890411,0.0,1,2026-09-19 08:00:00,2026-09-19,08:00
elefante,0.028259159865555196,0.8854960153339984,0.9761904761904762,0.6666666666666667,0.9344262295081968,0.997788921681075,1.0,1.0,0.0,0.0,2,2026-09-19 08:00:00,2026-09-19,08:00
lapa,0.02825746814054702,0.8854361488816509,0.9761904761904762,0.8333333333333334,0.7868852459016394,0.987888380947539,1.0,1.0,0.0,0.0,3,2026-09-19 08:00:00,2026-09-19,08:00
aguila,0.027703513980185945,0.8656376309063588,0.9155145929339479,0.5,0.8360655737704918,0.9894629148528123,1.0,1.0,0.0,0.0,4,2026-09-19 08:00:00,2026-09-19,08:00
carnero,0.027679317268349296,0.8647638325529439,0.9953917050691244,0.5,0.8524590163934426,0.9509799518005174,1.0,1.0,0.2287644787644788,0.0,5,2026-09-19 08:00:00,2026-09-19,08:00
vaca,0.02762252216764534,0.8627098277946538,0.9224270353302612,0.16666666666666669,0.9508196721311476,0.9891338321338035,1.0,1.0,0.24687499999999998,0.0,6,2026-09-19 08:00:00,2026-09-19,08:00
jirafa,0.027552302821295727,0.8601644863540642,0.9523809523809524,0.33333333333333337,0.8688524590163935,0.9651427240167438,1.0,1.0,0.23910411622276026,0.0,7,2026-09-19 08:00:00,2026-09-19,08:00
venado,0.02754814446992569,0.8600135492353161,0.9754224270353303,0.6666666666666667,1.0,0.9031525602898849,1.0,1.0,0.23345153664302598,0.0,8,2026-09-19 08:00:00,2026-09-19,08:00
mono,0.027499138135736952,0.8582330309312014,0.91321044546851,0.6666666666666667,0.7213114754098361,0.9294850470300791,1.0,1.0,0.24936868686868688,0.0,9,2026-09-19 08:00:00,2026-09-19,08:00
camello,0.027424600136842864,0.8555187930807179,0.9592933947772657,0.16666666666666669,0.9344262295081968,0.9994524002602367,1.0,1.0,0.0,0.0,10,2026-09-19 08:00:00,2026-09-19,08:00
gato,0.027414430339566705,0.8551478967572638,0.8748079877112136,0.33333333333333337,0.5245901639344261,0.990846938335544,1.0,1.0,0.26032513181019334,0.0,11,2026-09-19 08:00:00,2026-09-19,08:00
toro,0.027352297734148618,0.8528789048251176,0.9254992319508449,0.5,0.5245901639344261,0.9585061622045701,1.0,1.0,0.24605481727574752,0.0,12,2026-09-19 08:00:00,2026-09-19,08:00
cochino,0.02733006915473875,0.85206589756523,0.9185867895545315,0.33333333333333337,0.639344262295082,0.9994015606934417,1.0,1.0,0.0,0.0,13,2026-09-19 08:00:00,2026-09-19,08:00
iguana,0.027324205420309743,0.8518513220540884,0.9807987711213518,0.16666666666666669,0.7868852459016394,0.9750843310795705,1.0,1.0,0.23217084639498434,0.0,14,2026-09-19 08:00:00,2026-09-19,08:00
ardilla,0.02729857385036226,0.8509128281813484,0.978494623655914,0.16666666666666669,0.8360655737704918,0.9960248102006956,1.0,1.0,0.0,0.0,15,2026-09-19 08:00:00,2026-09-19,08:00
perico,0.027239565123824454,0.8487488838050214,0.91321044546851,1.0,0.7213114754098361,0.7699238261187802,1.0,1.0,1.0,0.0,16,2026-09-19 08:00:00,2026-09-19,08:00
culebra,0.027166270419337352,0.846054512949527,0.8302611367127496,0.33333333333333337,0.6721311475409836,0.9577227233371428,1.0,1.0,0.2743055555555556,0.0,17,2026-09-19 08:00:00,2026-09-19,08:00
alacran,0.0271254295051962,0.8445500132966665,0.9062980030721967,0.5,0.8852459016393442,0.9055348663729826,1.0,1.0,0.2512722646310433,0.0,18,2026-09-19 08:00:00,2026-09-19,08:00
raton,0.027108894196022037,0.8439402404237675,0.9147465437788019,0.16666666666666669,0.7377049180327869,0.9652254832373982,1.0,1.0,0.24894957983193278,0.0,19,2026-09-19 08:00:00,2026-09-19,08:00
tigre,0.027033332689647502,0.8411490159108939,0.9039938556067588,0.33333333333333337,0.819672131147541,0.9276350313700373,1.0,1.0,0.25191326530612246,0.0,20,2026-09-19 08:00:00,2026-09-19,08:00
rana,0.026986468741793123,0.8394139499399212,0.9608294930875576,0.33333333333333337,0.819672131147541,0.9198663927869462,1.0,1.0,0.237,0.0,21,2026-09-19 08:00:00,2026-09-19,08:00
zamuro,0.026862665549987844,0.834815792084092,0.9155145929339479,0.0,0.7049180327868853,0.9999963977506159,1.0,1.0,0.0,0.0,22,2026-09-19 08:00:00,2026-09-19,08:00
caballo,0.02673895798093469,0.830199969631527,0.9254992319508449,1.0,0.6229508196721312,0.7355430455721345,1.0,1.0,0.9866777685262282,0.0,23,2026-09-19 08:00:00,2026-09-19,08:00
gallo,0.026578401903203246,0.8241772947130481,0.9592933947772657,0.5,0.5245901639344261,0.8879832428094406,1.0,1.0,0.2373798076923077,0.0,24,2026-09-19 08:00:00,2026-09-19,08:00
cebra,0.026490592917869926,0.8208680530074923,0.9854070660522274,0.6666666666666667,0.9344262295081968,0.7327368263816809,1.0,1.0,0.926505082095387,0.0,25,2026-09-19 08:00:00,2026-09-19,08:00
ciempies,0.026359455804472003,0.8159054319427681,0.9362519201228878,0.33333333333333337,0.7377049180327869,0.8442964584906887,1.0,1.0,0.4868529170090386,0.0,26,2026-09-19 08:00:00,2026-09-19,08:00
chivo,0.02606471707522736,0.8046609308440535,0.9608294930875576,0.33333333333333337,0.819672131147541,0.9704544425586898,0.6,1.0,0.237,0.0,27,2026-09-19 08:00:00,2026-09-19,08:00
pavo,0.025926932885524685,0.7993606754235217,0.9324116743471583,0.0,0.8524590163934426,0.9999186852235662,0.7,1.0,0.0,0.0,28,2026-09-19 08:00:00,2026-09-19,08:00
paloma,0.02563884239731817,0.7881868499911863,0.8817204301075269,0.0,0.6229508196721312,1.0,0.7,1.0,0.0,0.0,29,2026-09-19 08:00:00,2026-09-19,08:00
leon,0.025615208708400537,0.7872646325241652,0.8886328725038403,0.33333333333333337,0.6721311475409836,0.8143345009702223,1.0,1.0,0.2562716262975779,0.0,30,2026-09-19 08:00:00,2026-09-19,08:00
ballena,0.02541306792069777,0.779341894057723,0.8901689708141322,0.16666666666666669,0.7049180327868853,0.8160641979440009,1.0,1.0,0.25582901554404147,0.0,31,2026-09-19 08:00:00,2026-09-19,08:00
delfin,0.025392180423228314,0.7785196365419284,0.9731182795698926,0.5,0.6721311475409836,0.7364063979178036,1.0,1.0,0.4683794466403162,0.0,32,2026-09-19 08:00:00,2026-09-19,08:00
caiman,0.025078078165329032,0.7660724519204143,0.9577572964669739,0.8333333333333334,0.7213114754098361,0.6266386619591283,1.0,1.0,0.7144292604501608,0.0,33,2026-09-19 08:00:00,2026-09-19,08:00
gallina,0.024813011141349334,0.7554465256588222,0.9016897081413211,0.5,0.639344262295082,0.9420887847702722,1.0,0.55,0.25255754475703324,0.0,34,2026-09-19 08:00:00,2026-09-19,08:00
perro,0.021725595387716946,0.6225694436930354,0.8072196620583717,0.5,0.5081967213114754,0.38502763400017087,1.0,1.0,0.5648236415633937,0.0,35,2026-09-19 08:00:00,2026-09-19,08:00
oso,0.02162331011461109,0.6178502720438382,0.9769585253456221,0.6666666666666667,0.819672131147541,0.3934712296346959,0.6,1.0,0.9345425867507887,0.0,36,2026-09-19 08:00:00,2026-09-19,08:00
zorro,0.021562336085506097,0.6150264601995395,1.0,0.6666666666666667,0.9508196721311476,0.5518682532997315,0.15,1.0,0.6841801385681293,0.0,37,2026-09-19 08:00:00,2026-09-19,08:00
burro,0.020576160431377555,0.568211512308119,0.8824884792626728,0.33333333333333337,0.6721311475409836,0.5764853635036017,0.15,1.0,0.25805749128919864,0.0,38,2026-09-19 08:00:00,2026-09-19,08:00
